p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.770559144574649e-31	0.27372920532448486	0.555	0.513	1.746072352505767e-26	0	SRSF2
7.375617393844257e-31	0.2667202313329464	0.611	0.583	2.6995497223209365e-26	0	NDUFA13
1.547878348904486e-30	0.3406653388432903	0.26	0.196	5.66538954482531e-26	0	CLTB
2.6261682924138605e-30	0.48860304799326437	0.381	0.327	9.612038567063971e-26	0	PPP1R14B
1.402598634333163e-29	0.29112178094353647	0.542	0.507	5.13365126152281e-25	0	UQCR10
2.0943332327687043e-28	0.2777060350780738	0.57	0.527	7.665469065256735e-24	0	HMGN1
3.665327030157399e-28	0.30601921311437663	0.537	0.505	1.3415463463079097e-23	0	POMP
9.319832267716266e-28	0.344898155645448	0.378	0.325	3.4111518083068304e-23	0	NDUFB10
1.1544058261120272e-27	0.2733055854880333	0.59	0.561	4.225240764152631e-23	0	SNRPD2
3.316502512332466e-27	0.32520028474852614	0.312	0.251	1.2138730845388058e-22	0	CCDC12
1.242141671936378e-26	0.3225889252129812	0.307	0.243	4.546362733454337e-22	0	OPTN
4.3679946492874676e-26	0.3092148203794498	0.281	0.221	1.598729721585706e-21	0	TRAPPC10
5.855512485243782e-26	0.32224930876406566	0.261	0.203	2.1431761247240768e-21	0	NAA50
8.902930963983138e-26	0.3081052989927344	0.508	0.472	3.2585617621274683e-21	0	SCAF11
3.9235811068162235e-25	0.3452110013237606	0.342	0.288	1.436069920905806e-20	0	TMCO1
8.947288212127215e-25	0.3109732218403014	0.465	0.434	3.274796958520682e-20	0	TMEM50A
1.0463666454593645e-24	0.3299589474625678	0.269	0.214	3.8298065590458203e-20	0	PYURF
4.771513237669526e-24	0.33213877451267915	0.348	0.297	1.7464215601194232e-19	0	EAPP
1.4339535769558602e-23	0.3038759038608825	0.446	0.414	5.248413487016144e-19	0	ATP5MC3
2.7034557690674826e-23	0.29673600007095646	0.434	0.399	9.894918460363894e-19	0	JTB
2.899594030334801e-23	0.31890068958916773	0.421	0.386	1.0612804110428406e-18	0	TMEM59
4.694581842331109e-23	0.30429357205888596	0.349	0.294	1.7182639001116093e-18	0	SEC11C
7.316363552076076e-23	0.2850817492803668	0.43	0.373	2.6778622236953647e-18	0	PIK3R1
7.554040504322814e-23	0.26964415443911594	0.535	0.518	2.764854364987193e-18	0	ATP6V0E1
1.0832228500531473e-22	0.2924230767442919	0.32	0.267	3.964703953479524e-18	0	YPEL3
1.8940375865464951e-22	0.2908846194646635	0.357	0.308	6.932366970518827e-18	0	TERF2IP
3.2537616415494513e-22	0.3002295671929083	0.426	0.384	1.1909092984235146e-17	0	EID1
8.640860802873217e-22	0.3043793137263573	0.282	0.225	3.162641462459626e-17	0	SMAD7
1.4745778354128196e-21	0.2812456394599617	0.263	0.204	5.397102335394461e-17	0	IKZF3
3.7964039920840866e-21	0.29996083120995043	0.434	0.393	1.3895218251426965e-16	0	RWDD1
1.2547090153870334e-20	0.25120469526147415	0.493	0.449	4.592360467218081e-16	0	PDCD4
1.9643769866335902e-20	0.29374832384695937	0.465	0.441	7.189816208777603e-16	0	KRTCAP2
3.9899680908921605e-20	0.2859615958402524	0.296	0.241	1.4603682209474397e-15	0	PBXIP1
5.13780390173092e-20	0.2514941895450149	0.539	0.526	1.880487606072534e-15	0	SNRPB
5.598389105544215e-20	0.26616779956441916	0.463	0.437	2.049066396520238e-15	0	COPS9
5.853527093033353e-20	0.27950317550717907	0.42	0.382	2.1424494513211377e-15	0	PSMB8
9.918220762625583e-20	0.2933621355659435	0.441	0.413	3.63016798132859e-15	0	HLA-F
3.797484654163875e-19	0.3109116758187356	0.287	0.243	1.38991735827052e-14	0	DCTN3
3.8859814718059447e-19	0.25273147858409195	0.36	0.315	1.422308078495694e-14	0	AAK1
6.480456200557183e-19	0.2919490966713585	0.484	0.466	2.3719117739659345e-14	0	DNAJC8
9.333239750883601e-19	0.32031515655276954	0.267	0.225	3.416059081220907e-14	0	MAP2K2
1.991748267512145e-18	0.2953419655447047	0.418	0.385	7.289997833921202e-14	0	HP1BP3
2.407295609942806e-18	0.28790372123464825	0.307	0.264	8.810942661951664e-14	0	NDUFB7
3.705363701837933e-18	0.3026685577375856	0.313	0.271	1.356200168509702e-13	0	SELENOW
3.6704776198140414e-17	0.2753669814202422	0.423	0.39	1.3434315136281374e-12	0	NUCKS1
8.772845090019904e-17	0.27452686948953864	0.319	0.276	3.210949031398185e-12	0	HMGB2
1.5422510852796153e-16	0.2634780525499649	0.322	0.283	5.64479319723192e-12	0	NDUFA3
7.39351819972608e-16	0.2562046469150163	0.453	0.432	2.7061015962817427e-11	0	XRCC5
1.2029122055805918e-15	0.2720767037038805	0.372	0.344	4.402778963645524e-11	0	NDUFC2
1.320381963072501e-15	0.31148396945456813	0.294	0.257	4.832730023041661e-11	0	APBB1IP
1.8756145745171e-15	0.2554047211025421	0.32	0.285	6.864936904190038e-11	0	RPS19BP1
2.9112815350143064e-15	0.29022511738643086	0.3	0.267	1.0655581546305863e-10	0	MGST3
8.42427816088563e-15	0.28724725212299296	0.264	0.226	3.0833700496657496e-10	0	DNAJC1
1.4028066986017862e-14	0.2758741634970743	0.336	0.304	5.134412797552398e-10	0	PRDX5
2.2554550271200853e-14	0.2501325886402892	0.451	0.433	8.255190944762225e-10	0	SNU13
2.419695233836068e-14	0.26835544416035173	0.296	0.261	8.856326525363392e-10	0	VAMP2
8.839693301403931e-14	0.27478407563871987	0.361	0.336	3.2354161452468527e-9	0	MCUB
9.286915226461661e-14	0.2513256632489893	0.447	0.438	3.3991038420372327e-9	0	ATP5MF
1.0450118551933671e-13	0.27834676418444193	0.258	0.222	3.824847891193243e-9	0	POLR2I
1.4980202171100507e-13	0.2543507988253779	0.348	0.322	5.4829037966444965e-9	0	LSM8
2.0279753111936584e-13	0.2541964249212081	0.272	0.236	7.422592436499909e-9	0	MEAF6
2.2733901431148437e-13	0.2709367474142963	0.365	0.342	8.320835262814639e-9	0	UQCRQ
2.868515011269779e-13	0.2727256554634555	0.293	0.263	1.0499051792748518e-8	0	POLR2J
6.53440735752918e-13	0.2871737690246794	0.312	0.282	2.3916584369292553e-8	0	MED4
1.0539899309037106e-12	0.28783665433007544	0.397	0.376	3.8577085461006714e-8	0	DDX46
3.1691466927375564e-12	0.2841710728185258	0.33	0.309	1.159939381008873e-7	0	RAP1A
6.31700458582273e-12	0.2708043795309787	0.283	0.256	2.3120868484569774e-7	0	LMAN2
7.655496616129459e-12	0.2894656419051016	0.267	0.236	2.801988316469543e-7	0	SUPT16H
8.993698902709826e-12	0.2592958907413676	0.351	0.329	3.2917837353808235e-7	0	DDX6
1.1072055187762873e-11	0.2577407098894906	0.325	0.304	4.052482919273089e-7	0	DYNLRB1
1.3000018038534974e-11	0.25349034043545493	0.314	0.29	4.758136602284186e-7	0	SRPRA
1.5092896964786768e-11	0.2717102204298478	0.394	0.378	5.524151218081605e-7	0	RTF1
4.9861347857617646e-11	0.26639889410376494	0.443	0.436	1.8249751929366635e-6	0	PLP2
5.749166385139052e-10	0.25922278787201714	0.298	0.278	2.1042523886247446e-5	0	SNRPD3
7.050645381085076e-10	0.2529378160546294	0.285	0.264	2.5806067159309486e-5	0	PPP1CA
0	3.2986508817073164	0.992	0.426	0	1	IL1B
0	3.16670156255576	0.992	0.461	0	1	CCL3
0	3.1242739564406046	0.999	0.551	0	1	SOD2
0	3.0696772091563393	0.777	0.195	0	1	SERPINB2
0	3.0411591527926793	0.999	0.595	0	1	CXCL8
0	2.985662010298152	0.992	0.517	0	1	CCL4
0	2.866275275880366	0.887	0.243	0	1	CXCL3
0	2.862664782161649	0.949	0.321	0	1	CCL3L1
0	2.7564127510760787	0.933	0.311	0	1	CCL4L2
0	2.6575414805995554	0.86	0.153	0	1	IL1RN
0	2.6552335509215363	0.96	0.256	0	1	CXCL2
0	2.5467614095293314	0.789	0.195	0	1	PTGS2
0	2.516901888662939	0.903	0.206	0	1	C15orf48
0	2.4319986546220926	0.794	0.1	0	1	TNFAIP6
0	2.4178709014105975	0.589	0.09	0	1	IL6
0	2.3920656022508395	0.91	0.203	0	1	EREG
0	2.337154934825515	0.829	0.229	0	1	THBS1
0	2.312400170717685	0.447	0.043	0	1	INHBA
0	2.2484440772757828	0.9	0.169	0	1	BASP1
0	2.1977488550701465	0.935	0.157	0	1	AQP9
0	2.168861976215374	0.883	0.401	0	1	EIF1B
0	2.1222091786812562	0.418	0.098	0	1	CCL20
0	2.107059498444507	0.978	0.428	0	1	ANXA5
0	2.099544836232944	0.664	0.141	0	1	G0S2
0	2.096325245799111	0.966	0.243	0	1	MARCKS
0	2.06572100442359	0.982	0.353	0	1	LGALS3
0	2.060071277255226	0.426	0.079	0	1	CXCL1
0	2.050279510576452	0.815	0.165	0	1	CTSL
0	2.035649862321925	0.836	0.152	0	1	ADA
0	2.0302736372535675	0.733	0.083	0	1	DNAAF1
0	1.9700894067946695	0.954	0.297	0	1	NINJ1
0	1.9435959102774327	0.838	0.123	0	1	SLC7A11
0	1.9085959940285862	0.679	0.096	0	1	MIR155HG
0	1.8918912721499273	0.882	0.139	0	1	KYNU
0	1.8709605043389599	0.914	0.425	0	1	CSTB
0	1.8631339297160756	0.93	0.298	0	1	BCL2A1
0	1.840953266259671	0.935	0.266	0	1	SERPINB9
0	1.828989652420904	0.958	0.35	0	1	ATP2B1
0	1.8072332803101956	0.865	0.155	0	1	PDE4DIP
0	1.798675963073759	0.587	0.077	0	1	MIR3945HG
0	1.79728687163254	0.72	0.143	0	1	OGFRL1
0	1.7961009249283126	0.812	0.194	0	1	INSIG1
0	1.7885346870040755	0.952	0.386	0	1	WTAP
0	1.7676549633037097	0.886	0.397	0	1	TXN
0	1.759722442303819	0.758	0.073	0	1	ITGB8
0	1.7496879727131232	0.981	0.608	0	1	HSPA5
0	1.7335733968536546	0.522	0.07	0	1	IL1A
0	1.7293306924109344	0.799	0.144	0	1	ACSL1
0	1.723993533152739	0.946	0.277	0	1	ATP2B1-AS1
0	1.7182399843090639	0.797	0.101	0	1	DRAM1
0	1.7157113055638669	0.994	0.411	0	1	HLA-DRA
0	1.6373712324538867	0.774	0.175	0	1	PELI1
0	1.6311843856520607	0.789	0.155	0	1	CYP1B1
0	1.6120016374010198	0.773	0.104	0	1	RNF144B
0	1.6066005112767852	0.931	0.306	0	1	IER3
0	1.6009180339316065	0.649	0.136	0	1	SLAMF7
0	1.5922454660513796	0.882	0.203	0	1	SERPINA1
0	1.5584542658450267	0.958	0.379	0	1	TIMP1
0	1.551335963876118	0.78	0.202	0	1	C1orf122
0	1.5452494417603047	0.819	0.251	0	1	MAP3K8
0	1.4840307627278018	0.931	0.394	0	1	TNFAIP8
0	1.479820397170874	0.942	0.342	0	1	NAMPT
0	1.4559509577505434	0.955	0.464	0	1	ATP6V1F
0	1.4534829123462663	0.574	0.078	0	1	IL1R1
0	1.4488084051466623	0.819	0.176	0	1	NCF2
0	1.4055984671553419	0.791	0.198	0	1	USP12
0	1.400776972371727	0.806	0.27	0	1	DNAJC3
0	1.3936312709242116	0.96	0.473	0	1	CD63
0	1.3925712844864686	0.851	0.285	0	1	ARFGAP3
0	1.3880318776190368	0.739	0.197	0	1	PLAUR
0	1.385114647537589	0.845	0.233	0	1	ARL8B
0	1.3802969484516099	0.927	0.362	0	1	GSTO1
0	1.3802393820197352	0.825	0.237	0	1	EHD1
0	1.3797267310042134	0.727	0.181	0	1	SMS
0	1.3797263411299432	0.642	0.109	0	1	CREG1
0	1.3733694547934014	0.89	0.392	0	1	SERPINB1
0	1.3436791767270626	0.548	0.048	0	1	NRP2
0	1.319708660046318	0.766	0.142	0	1	DENND5A
0	1.3183444863138258	0.965	0.454	0	1	PPP1R15A
0	1.317404779197241	0.79	0.166	0	1	CD68
0	1.3146348244912804	0.607	0.094	0	1	FNIP2
0	1.3126415396113176	0.708	0.166	0	1	SNX9
0	1.3113805691623361	0.701	0.132	0	1	MTHFD2
0	1.3064512060524216	0.751	0.174	0	1	CSTA
0	1.3058180797236223	0.949	0.426	0	1	NFKB1
0	1.3045181671349144	0.832	0.228	0	1	JARID2
0	1.2962648958251246	0.945	0.31	0	1	FCER1G
0	1.2846102949278746	0.612	0.087	0	1	CLEC4E
0	1.277112358052026	0.786	0.277	0	1	SDF2L1
0	1.2741101757043307	0.666	0.098	0	1	MAP3K20
0	1.2732505262016887	0.77	0.213	0	1	PHLDA1
0	1.2681409181130174	0.999	0.949	0	1	FTL
0	1.2616633774562342	0.695	0.129	0	1	ETS2
0	1.2612915709837837	0.759	0.178	0	1	ATP13A3
0	1.2572387809222723	0.881	0.353	0	1	PLEK
0	1.254967324353985	0.624	0.236	0	1	PLAC8
0	1.2536213842964468	0.484	0.103	0	1	MAP1LC3A
0	1.247619161073557	0.652	0.11	0	1	AZIN1-AS1
0	1.2356206235114258	0.578	0.07	0	1	MSC
0	1.2351708230854102	0.801	0.212	0	1	LUCAT1
0	1.2329982667368156	0.695	0.14	0	1	MS4A7
0	1.232951640098408	0.854	0.257	0	1	CD83
0	1.231086709163313	0.676	0.181	0	1	TXNRD1
0	1.2295416972201854	0.764	0.184	0	1	SPI1
0	1.2271334205099995	0.85	0.377	0	1	CYTOR
0	1.2218741190756748	0.816	0.292	0	1	CARD16
0	1.2217301470485258	0.97	0.308	0	1	LYZ
0	1.2169392155807897	0.998	0.833	0	1	S100A10
0	1.213112772059932	0.911	0.363	0	1	SDCBP
0	1.202955637423584	0.843	0.26	0	1	TNIP1
0	1.2006032365824257	1	0.955	0	1	VIM
0	1.1980299378128823	0.905	0.214	0	1	FCN1
0	1.1946574666423708	0.695	0.136	0	1	B4GALT5
0	1.19416281521144	0.639	0.095	0	1	SLC2A6
0	1.1895194197333354	0.506	0.104	0	1	SLC39A8
0	1.1828268072493753	0.651	0.11	0	1	ABCA1
0	1.1792742964697722	0.775	0.254	0	1	HLA-DQB1
0	1.1776641583985876	0.652	0.094	0	1	SPHK1
0	1.1774833491172552	0.606	0.086	0	1	LHFPL2
0	1.1721448308162192	0.692	0.157	0	1	NBPF19
0	1.1703753118485776	0.665	0.112	0	1	PILRA
0	1.1681222750320546	0.574	0.064	0	1	TJP2
0	1.1666933835858209	0.619	0.13	0	1	TNFAIP2
0	1.1653218393551348	0.55	0.08	0	1	ALCAM
0	1.162385454090834	0.595	0.089	0	1	EPB41L3
0	1.1583485914942382	0.668	0.112	0	1	TRAF1
0	1.144980494299305	0.578	0.079	0	1	RIN2
0	1.1446769787219835	0.988	0.646	0	1	NFKBIA
0	1.1393731223503745	0.768	0.178	0	1	S100A12
0	1.1328359476623264	0.909	0.356	0	1	HLA-DRB1
0	1.1298401696116018	0.83	0.348	0	1	CD55
0	1.1270429576410717	0.495	0.078	0	1	HLA-DRB5
0	1.1241248812910907	0.735	0.166	0	1	CFD
0	1.1225647837177202	0.705	0.169	0	1	MTSS1
0	1.1220649459244991	0.949	0.47	0	1	ANXA2
0	1.119785255197658	0.993	0.695	0	1	S100A11
0	1.1171762553670963	0.472	0.066	0	1	CCRL2
0	1.1119214244524795	0.333	0.065	0	1	CCL7
0	1.1041536770822793	0.752	0.218	0	1	LYN
