Gene	Pathway	avg.exp	pct.exp	id	avg.exp.scaled	colors	log_avg_exp	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant
LGALS3	Inflammation	11.194092901652487	93.87978142076503	CD14 Mono_Mutant	20	#D3D3D3	2.4153862196711495	3.0450253213115065e-5	0.3254221123489298	0.939	0.736	1	FALSE
TSPO	Inflammation	1.1078041367277611	46.33879781420765	CD14 Mono_Mutant	1	#BEBEBE	0.10237980079274434	0.5841609029096255	-0.04466979603320387	0.463	0.399	1	FALSE
PYCARD	Inflammation	0.33932561764912095	18.0327868852459	CD14 Mono_Mutant	20	#D3D3D3	-1.080795108571014	0.11957918588315232	0.09188595439746068	0.18	0.122	1	FALSE
CFD	Inflammation	3.187333635948453	74.75409836065575	CD14 Mono_Mutant	20	#D3D3D3	1.1591847164788387	0.0092086735406499	0.08594333097450191	0.748	0.588	1	FALSE
SNHG29	Inflammation	6.059686012464028	90.7103825136612	CD14 Mono_Mutant	20	#D3D3D3	1.801657985614129	2.8437627027553105e-6	0.33601772929027796	0.907	0.682	0.10375468221002752	FALSE
YBX3	Inflammation	2.090813080710916	62.295081967213115	CD14 Mono_Mutant	20	#D3D3D3	0.7375530241556528	0.00653907538760616	0.1048548072873472	0.623	0.48	1	FALSE
DRAM1	Inflammation	4.05221092226013	85.73770491803279	CD14 Mono_Mutant	20	#D3D3D3	1.3992626388964717	3.216684811011363e-4	0.13016564298771227	0.857	0.615	1	FALSE
YBX1	Inflammation	6.340557676052786	90	CD14 Mono_Mutant	20	#D3D3D3	1.846966726103268	6.477355169586563e-8	0.29882936678408845	0.9	0.642	0.00236326303362365	TRUE
NEAT1	Inflammation	28.39615116495402	99.72677595628416	CD14 Mono_Mutant	1	#BEBEBE	3.3462536136224017	1.9776623365363097e-7	-0.8416324914384985	0.997	0.98	0.00721550103485272	TRUE
SOD2	Inflammation	210.7688006219867	99.78142076502732	CD14 Mono_Mutant	20	#D3D3D3	5.350761801073908	6.856724693871624e-11	0.4272397461238002	0.998	0.953	2.501676004559062e-6	TRUE
ITGB8	Cell adhesion	2.962794524402728	74.91803278688525	CD14 Mono_Mutant	20	#D3D3D3	1.0861329190395637	8.965268140406744e-8	0.22774912963116356	0.749	0.466	0.0032709780810274	TRUE
OLR1	Cell adhesion	2.331936882822181	58.5792349726776	CD14 Mono_Mutant	1	#BEBEBE	0.8466992024367925	0.1840501757227164	-0.08393126552039787	0.586	0.48	1	FALSE
FABP5	Inflammation	1.8386004373808709	46.994535519125684	CD14 Mono_Mutant	1	#BEBEBE	0.6090046503354857	0.09633672049645528	-0.08739724343693056	0.47	0.365	1	FALSE
TXNRD1	Inflammation	2.179879495109122	61.85792349726776	CD14 Mono_Mutant	20	#D3D3D3	0.779269597800262	0.00200576408342356	0.0526272169488986	0.619	0.426	1	FALSE
HLA-DQA2	Antigen presentation	1.9478947009801364	56.12021857923497	CD14 Mono_Mutant	20	#D3D3D3	0.6667491488209942	4.407320536889378e-10	0.6598194410279716	0.561	0.277	1.6080108978840897e-5	TRUE
TPT1	Inflammation	88.2752411782806	99.78142076502732	CD14 Mono_Mutant	20	#D3D3D3	4.480459673935108	3.415478350271292e-12	0.3254482946381332	0.998	0.973	1.246137276096481e-7	TRUE
TAB2	Inflammation	0.9102712163298049	38.79781420765027	CD14 Mono_Mutant	20	#D3D3D3	-0.09401268395345384	0.01980121719254922	0.02936433531842497	0.388	0.277	1	FALSE
SERPINB1	Inflammation	6.141232862017208	87.43169398907104	CD14 Mono_Mutant	20	#D3D3D3	1.815025513862544	7.382179100437531e-11	0.6009519555017939	0.874	0.635	2.693388044794633e-6	TRUE
CXCL3	Inflammation	70.38120480237171	89.86486486486487	CD14 Mono_Wildtype	1	#BEBEBE	4.253926250280191	1.477731303754158e-10	0.5944964991247597	0.992	0.899	5.391502661747045e-6	TRUE
HLA-DRA	Antigen presentation	15.94897035964474	77.7027027027027	CD14 Mono_Wildtype	1	#BEBEBE	2.7693942728928898	6.041689776509612e-7	0.4480900862634965	0.973	0.777	0.02204310514959532	TRUE
ALCAM	Cell adhesion	0.6815310005758439	23.64864864864865	CD14 Mono_Wildtype	1	#BEBEBE	-0.38341354014081497	0.00103440208851268	0.25455378502426806	0.378	0.236	1	FALSE
SOD2	Monocyte activation	156.48891754915098	95.27027027027027	CD14 Mono_Wildtype	1	#BEBEBE	5.052985193090329	6.856724693871624e-11	0.4272397461238002	0.998	0.953	2.501676004559062e-6	TRUE
CCL4L2	Inflammation	53.63089088827987	81.08108108108108	CD14 Mono_Wildtype	1	#BEBEBE	3.982125224609235	2.771310425035063e-9	0.5301279565572186	0.978	0.811	1.0111126085740428e-4	TRUE
HLA-DRB5	Antigen presentation	1.4865448473881404	39.86486486486486	CD14 Mono_Wildtype	1	#BEBEBE	0.39645453278775833	3.621537387230252e-7	0.4131518023479195	0.64	0.399	0.01321317915730957	TRUE
ITGB2	Cell adhesion	0.5246652494502548	21.62162162162162	CD14 Mono_Wildtype	1	#BEBEBE	-0.6449948398514102	0.05891701068107979	0.07834904367960105	0.298	0.216	1	FALSE
S100A4	Monocyte activation	12.426575468704497	76.35135135135135	CD14 Mono_Wildtype	1	#BEBEBE	2.5198373622305454	2.3659002828435825e-7	0.342489731806368	0.974	0.764	0.00863198718195481	TRUE
LGALS2	Inflammation	0.6074444971866881	22.2972972972973	CD14 Mono_Wildtype	1	#BEBEBE	-0.49849447059691254	1.6369336008454691e-9	0.5230928155464911	0.483	0.223	5.972352242684694e-5	TRUE
HLA-DRB1	Antigen presentation	4.047745041952248	58.78378378378378	CD14 Mono_Wildtype	1	#BEBEBE	1.3981599462941587	3.081986205334452e-7	0.3752179170235048	0.835	0.588	0.01124462667016274	TRUE
SDCBP	Cell adhesion	4.091921282749145	68.24324324324324	CD14 Mono_Wildtype	1	#BEBEBE	1.4090146110395263	0.06244284652001319	0.05010552927189593	0.878	0.682	1	FALSE
LYZ	Monocyte activation	26.81506798199744	79.05405405405406	CD14 Mono_Wildtype	1	#BEBEBE	3.2889639676544022	2.0684699254158885e-4	0.19595842902150373	0.986	0.791	1	FALSE
CCL3L1	Inflammation	57.89066982733301	83.78378378378379	CD14 Mono_Wildtype	1	#BEBEBE	4.058556228715509	1.4102203229300343e-10	0.5216539769576407	0.99	0.838	5.14518884821023e-6	TRUE
CTSS	Antigen presentation	4.906241147193063	70.27027027027027	CD14 Mono_Wildtype	1	#BEBEBE	1.590508098153183	5.893912188607059e-5	0.2834279929853838	0.928	0.703	1	FALSE
LIMS1	Cell adhesion	2.9338357768470846	60.810810810810814	CD14 Mono_Wildtype	20	#0000FF	1.0763107057095178	0.9860735096567628	-0.2470870319531369	0.673	0.608	1	FALSE
S100A9	Monocyte activation	24.153839540577568	75	CD14 Mono_Wildtype	1	#BEBEBE	3.184443354648935	1.777833502601275e-4	0.02514467510100182	0.959	0.75	1	FALSE
IL1B	Inflammation	279.5015128535214	97.2972972972973	CD14 Mono_Wildtype	1	#BEBEBE	5.633007705294356	1.6408286838012128e-13	0.5020471780734628	1	0.973	5.986563452848724e-9	TRUE
CD74	Antigen presentation	7.415188160528649	70.94594594594594	CD14 Mono_Wildtype	1	#BEBEBE	2.0035303509292537	0.00138047396895947	0.22991254856691776	0.919	0.709	1	FALSE
ANXA5	Cell adhesion	12.45875755192771	79.05405405405406	CD14 Mono_Wildtype	1	#BEBEBE	2.522423793453872	4.042300075708552e-6	0.32600019038230466	0.983	0.791	0.14748331826222652	FALSE
S100A8	Monocyte activation	14.753409583424947	70.27027027027027	CD14 Mono_Wildtype	20	#0000FF	2.6914742142711905	0.0036965707168671	-0.10811157247987112	0.916	0.703	1	FALSE
IL6	Inflammation	8.230294148963381	63.51351351351351	CD14 Mono_Wildtype	1	#BEBEBE	2.1078217551150913	7.082043768482868e-8	0.49699685569948393	0.872	0.635	0.00258388366893097	TRUE
IFI30	Antigen presentation	2.2204957179243765	39.189189189189186	CD14 Mono_Wildtype	20	#0000FF	0.7977304673195977	0.07844849763327186	-0.33965715231308113	0.525	0.392	1	FALSE
ITGB1	Cell adhesion	3.308286829458387	58.108108108108105	CD14 Mono_Wildtype	1	#BEBEBE	1.1964304812194642	1.1878490951459804e-4	0.08155235296004948	0.826	0.581	1	FALSE
S100A10	Monocyte activation	25.57572188253152	81.75675675675676	CD14 Mono_Wildtype	1	#BEBEBE	3.2416435375402806	3.549693062099045e-5	0.2774613568345714	0.987	0.818	1	FALSE
IL1RN	Inflammation	19.74482978013048	76.35135135135135	CD14 Mono_Wildtype	1	#BEBEBE	2.982891673791373	3.940839254703007e-7	0.4743128641827177	0.942	0.764	0.01437815202078392	TRUE
HLA-DPA1	Antigen presentation	2.641231970936023	47.97297297297297	CD14 Mono_Wildtype	1	#BEBEBE	0.9712454639659202	4.116387188797234e-4	0.34034058973502535	0.655	0.48	1	FALSE
FCN1	Cell adhesion	4.599072706185974	65.54054054054053	CD14 Mono_Wildtype	1	#BEBEBE	1.525854697562194	1.373748856904594e-4	0.2906018753562596	0.897	0.655	1	FALSE
S100A11	Monocyte activation	13.35531861862933	77.7027027027027	CD14 Mono_Wildtype	1	#BEBEBE	2.5919147039058887	0.05384602170012888	0.09613314381532856	0.978	0.777	1	FALSE
CCL4	Inflammation	191.37372765871814	93.24324324324324	CD14 Mono_Wildtype	1	#BEBEBE	5.254228205536247	1.080618586059378e-9	0.4678482609787231	0.995	0.932	3.94263691123764e-5	TRUE
HLA-DQA1	Antigen presentation	1.6501437344496106	36.486486486486484	CD14 Mono_Wildtype	1	#BEBEBE	0.5008623959061206	2.2789111617248675e-5	0.2612877258657089	0.568	0.365	0.8314607373553179	FALSE
CD226	Cell adhesion	0.057700740877512875	0.6756756756756757	CD14 Mono_Wildtype	20	#0000FF	-2.8524852653856496	0.675145270088466	-0.07215512493427041	0.004	0.007	1	FALSE
S100A6	Monocyte activation	20.0067993765355	79.05405405405406	CD14 Mono_Wildtype	1	#BEBEBE	2.9960721846044587	9.514039724101144e-6	0.27570211092991315	0.981	0.791	0.3471197393338302	FALSE
TNFAIP6	Inflammation	7.222682997308895	65.54054054054053	CD14 Mono_Wildtype	1	#BEBEBE	1.9772264901516936	1.9887808980242837e-7	0.4576069701999561	0.894	0.655	0.00725606710644159	TRUE
SEC61B	Antigen presentation	4.696475971559477	66.8918918918919	CD14 Mono_Wildtype	1	#BEBEBE	1.546812434195222	6.59208813865585e-6	0.34000181741273927	0.917	0.669	0.2405123357388587	FALSE
ADAM8	Cell adhesion	0.17046818741280007	6.081081081081082	CD14 Mono_Wildtype	20	#0000FF	-1.7692065837566915	0.9221342573728564	-0.05553726440601075	0.063	0.061	1	FALSE
FCER1G	Monocyte activation	7.797873607432617	72.97297297297297	CD14 Mono_Wildtype	1	#BEBEBE	2.0538510820977613	0.00680702958859206	0.08944392797999923	0.937	0.73	1	FALSE
CCL3	Inflammation	220.2989145136447	95.27027027027027	CD14 Mono_Wildtype	1	#BEBEBE	5.39498532648633	2.7282070476154367e-9	0.44537128227488054	0.999	0.953	9.95386341322492e-5	TRUE
HLA-DPB1	Antigen presentation	2.8826964683918392	47.2972972972973	CD14 Mono_Wildtype	1	#BEBEBE	1.058726129864146	2.062940531782229e-5	0.4532186458030565	0.693	0.473	0.7526638530207462	FALSE
VIM	Inflammation	122.27508924814461	96.62162162162163	CD14 Mono_Wildtype	1	#BEBEBE	4.806273336322064	3.4556126729461497e-12	0.4186417784711116	0.999	0.966	1.260780283724403e-7	TRUE
CXCL8	Inflammation	427.74642835040925	100	CD14 Mono_Wildtype	1	#BEBEBE	6.0585305628845125	2.489603913128488e-7	0.35623358266883365	1	1	0.00908331987704928	TRUE
IFITM2	Inflammation	0.7532152122016162	21.62162162162162	CD14 Mono_Wildtype	20	#0000FF	-0.28340428564045717	0.3402068851806279	-0.14156837623375584	0.263	0.216	1	FALSE
TNFSF10	Inflammation	0.037178233804059706	2.7027027027027026	CD14 Mono_Wildtype	1	#BEBEBE	-3.292031801742423	0.620690731077483	0.0406937887088205	0.034	0.027	1	FALSE
MNDA	Inflammation	0.08033838134295736	4.054054054054054	CD14 Mono_Wildtype	1	#BEBEBE	-2.5215077978397598	0.01553358504796945	0.1715543687636188	0.103	0.041	1	FALSE
KLF4	Inflammation	0.1452630489153223	6.756756756756757	CD14 Mono_Wildtype	1	#BEBEBE	-1.9292090496582706	0.3358900960575252	0.06893576885044922	0.092	0.068	1	FALSE
CLEC4E	Inflammation	1.9209325685581249	45.94594594594595	CD14 Mono_Wildtype	1	#BEBEBE	0.6528107809101048	4.915354426868609e-7	0.4187315181754647	0.706	0.459	0.01793367062643012	TRUE
AIF1	Inflammation	2.1627220686558672	53.37837837837838	CD14 Mono_Wildtype	1	#BEBEBE	0.771367645259483	0.00212978698885062	0.234064758503572	0.69	0.534	1	FALSE
LGALS3	Inflammation	8.731676917611784	73.64864864864865	CD14 Mono_Wildtype	1	#BEBEBE	2.166957438187771	3.0450253213115065e-5	0.3254221123489298	0.939	0.736	1	FALSE
TSPO	Inflammation	1.1740884109298426	39.86486486486486	CD14 Mono_Wildtype	20	#0000FF	0.1604920260064239	0.5841609029096255	-0.04466979603320387	0.463	0.399	1	FALSE
PYCARD	Inflammation	0.2566830208485882	12.162162162162163	CD14 Mono_Wildtype	1	#BEBEBE	-1.3599133372404948	0.11957918588315232	0.09188595439746068	0.18	0.122	1	FALSE
CFD	Inflammation	2.945172935952347	58.78378378378378	CD14 Mono_Wildtype	1	#BEBEBE	1.0801675372648347	0.0092086735406499	0.08594333097450191	0.748	0.588	1	FALSE
SNHG29	Inflammation	4.592860282149423	68.24324324324324	CD14 Mono_Wildtype	1	#BEBEBE	1.5245029851442855	2.8437627027553105e-6	0.33601772929027796	0.907	0.682	0.10375468221002752	FALSE
YBX3	Inflammation	1.874142518055091	47.97297297297297	CD14 Mono_Wildtype	1	#BEBEBE	0.6281512311140444	0.00653907538760616	0.1048548072873472	0.623	0.48	1	FALSE
DRAM1	Inflammation	3.616339178681321	61.48648648648649	CD14 Mono_Wildtype	1	#BEBEBE	1.2854622375451221	3.216684811011363e-4	0.13016564298771227	0.857	0.615	1	FALSE
YBX1	Inflammation	4.967225531856059	64.1891891891892	CD14 Mono_Wildtype	1	#BEBEBE	1.6028614411455393	6.477355169586563e-8	0.29882936678408845	0.9	0.642	0.00236326303362365	TRUE
NEAT1	Inflammation	51.68016144607802	97.97297297297297	CD14 Mono_Wildtype	20	#0000FF	3.945073983426085	1.9776623365363097e-7	-0.8416324914384985	0.997	0.98	0.00721550103485272	TRUE
SOD2	Inflammation	156.48891754915098	95.27027027027027	CD14 Mono_Wildtype	1	#BEBEBE	5.052985193090329	6.856724693871624e-11	0.4272397461238002	0.998	0.953	2.501676004559062e-6	TRUE
ITGB8	Cell adhesion	2.384092572425021	46.62162162162162	CD14 Mono_Wildtype	1	#BEBEBE	0.868818579164404	8.965268140406744e-8	0.22774912963116356	0.749	0.466	0.0032709780810274	TRUE
OLR1	Cell adhesion	2.531527516086782	47.97297297297297	CD14 Mono_Wildtype	20	#0000FF	0.9288228818480283	0.1840501757227164	-0.08393126552039787	0.586	0.48	1	FALSE
FABP5	Inflammation	2.015875832924047	36.486486486486484	CD14 Mono_Wildtype	20	#0000FF	0.7010537575008456	0.09633672049645528	-0.08739724343693056	0.47	0.365	1	FALSE
TXNRD1	Inflammation	2.065972755509605	42.567567567567565	CD14 Mono_Wildtype	1	#BEBEBE	0.7256011835386694	0.00200576408342356	0.0526272169488986	0.619	0.426	1	FALSE
HLA-DQA2	Antigen presentation	0.8658920871860081	27.7027027027027	CD14 Mono_Wildtype	1	#BEBEBE	-0.14399498882396625	4.407320536889378e-10	0.6598194410279716	0.561	0.277	1.6080108978840897e-5	TRUE
TPT1	Inflammation	70.24613892480325	97.2972972972973	CD14 Mono_Wildtype	1	#BEBEBE	4.252005344778884	3.415478350271292e-12	0.3254482946381332	0.998	0.973	1.246137276096481e-7	TRUE
TAB2	Inflammation	0.8717829462579971	27.7027027027027	CD14 Mono_Wildtype	1	#BEBEBE	-0.13721480089934482	0.01980121719254922	0.02936433531842497	0.388	0.277	1	FALSE
SERPINB1	Inflammation	3.708348820120139	63.51351351351351	CD14 Mono_Wildtype	1	#BEBEBE	1.310586715587646	7.382179100437531e-11	0.6009519555017939	0.874	0.635	2.693388044794633e-6	TRUE
