Gene	Pathway	avg.exp	pct.exp	id	avg.exp.scaled	colors	log_avg_exp	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	Adj p-value	Avg exp	Pct exp	Significant	Avg log2 fold change
LGALS2	Inflammation	0.7243530029052477	26.38888888888889	DNMT3A	1	#BEBEBE	-0.3224764323480027	0.6190192162573123	0.12075091190410348	0.283	0.264	1	FALSE	Not significant	< 50	>= 10%	no	> 0
HLA-DRB1	Antigen presentation	18.54667508338759	94.9074074074074	DNMT3A	1	#BEBEBE	2.9202905322001635	0.8713004157046449	0.0272925298800315	0.919	0.949	1	FALSE	Not significant	< 50	>= 10%	no	> 0
CCL3L1	Inflammation	122.66850535939037	98.61111111111111	DNMT3A	1	#BEBEBE	4.8094856387313385	0.29845916771537584	0.06730318018577641	0.995	0.986	1	FALSE	Not significant	>= 100	>= 10%	no	> 0
IL1B	Inflammation	261.96371240962003	99.53703703703704	DNMT3A	20	#0000FF	5.568205991915415	0.8512886946919883	-0.04061027577453835	0.995	0.995	1	FALSE	Not significant	>= 100	>= 10%	no	< 0
IL6	Inflammation	13.187362811741536	80.0925925925926	DNMT3A	1	#BEBEBE	2.579259008281059	0.2690527207082542	0.1813961093201573	0.833	0.801	1	FALSE	Not significant	< 50	>= 10%	no	> 0
IL1RN	Inflammation	25.062276304847604	90.27777777777779	DNMT3A	20	#0000FF	3.2213637795345904	0.19836564916926525	-0.2722986053201675	0.899	0.903	1	FALSE	Not significant	< 50	>= 10%	no	< 0
CCL4	Inflammation	314.86343686986316	98.61111111111111	DNMT3A	1	#BEBEBE	5.752139011076243	0.1651460737767478	0.08995769078047999	0.985	0.986	1	FALSE	Not significant	>= 100	>= 10%	no	> 0
TNFAIP6	Inflammation	10.360056714371126	80.55555555555556	DNMT3A	20	#0000FF	2.3379577111765	0.4664465653825163	-0.1226637515661828	0.808	0.806	1	FALSE	Not significant	< 50	>= 10%	no	< 0
CCL3	Inflammation	329.2411593655038	99.53703703703704	DNMT3A	1	#BEBEBE	5.796790489436792	0.4128050998261748	0.05718931377499814	0.99	0.995	1	FALSE	Not significant	>= 100	>= 10%	no	> 0
VIM	Inflammation	177.46902166203114	100	DNMT3A	1	#BEBEBE	5.178796067836351	0.1314447964395202	0.06880320086080083	1	1	1	FALSE	Not significant	>= 100	>= 10%	no	> 0
CXCL8	Inflammation	370.9032329027651	100	DNMT3A	20	#0000FF	5.91594120083061	0.5382518420537854	-0.071237052559324	0.995	1	1	FALSE	Not significant	>= 100	>= 10%	no	< 0
CLEC4E	Inflammation	3.6623530216238516	68.98148148148148	DNMT3A	20	#0000FF	1.298105842923283	0.2014853944254868	-0.16843690874217865	0.601	0.69	1	FALSE	Not significant	< 50	>= 10%	no	< 0
YBX1	Inflammation	8.199864704051892	87.5	DNMT3A	1	#BEBEBE	2.1041176546282223	0.4724950869797356	0.13453889180359324	0.889	0.875	1	FALSE	Not significant	< 50	>= 10%	no	> 0
NEAT1	Inflammation	26.342747240632963	99.07407407407408	DNMT3A	20	#0000FF	3.2711929900651517	0.5819760984066897	-0.09769926452614364	0.995	0.991	1	FALSE	Not significant	< 50	>= 10%	no	< 0
SOD2	Inflammation	263.1775775156191	99.53703703703704	DNMT3A	20	#0000FF	5.572829004012176	0.8529006026220062	-0.00383681597043761	1	0.995	1	FALSE	Not significant	>= 100	>= 10%	no	< 0
ITGB8	Cell adhesion	3.67998228437887	71.75925925925925	DNMT3A	1	#BEBEBE	1.3029079381417712	0.2850669722488255	0.158367544368605	0.747	0.718	1	FALSE	Not significant	< 50	>= 10%	no	> 0
HLA-DQA2	Antigen presentation	0.05207152252724256	0.9259259259259258	DNMT3A	20	#0000FF	-2.955137072226311	0.9323179501201692	-0.00816473316631713	0.01	0.009	1	FALSE	Not significant	< 50	< 10%	no	< 0
TPT1	Inflammation	83.45468641867173	100	DNMT3A	1	#BEBEBE	4.424303806933318	0.43665487152325694	0.02765357774383581	0.995	1	1	FALSE	Not significant	> 50 & < 100	>= 10%	no	> 0
SERPINB1	Inflammation	12.379115570988867	92.5925925925926	DNMT3A	1	#BEBEBE	2.5160108245581863	0.22624065311915095	0.04666978585988257	0.949	0.926	1	FALSE	Not significant	< 50	>= 10%	no	> 0
