Gene	Pathway	avg.exp	pct.exp	id	avg.exp.scaled	colors	log_avg_exp	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	Adj p-value	Avg exp	Pct exp	Significant	Avg log2 fold change
FABP5	Inflammation	1.9334060012129939	38.88888888888889	TET2	1	#BEBEBE	0.6592832150122038	3.651969750198042e-9	0.6775852028952347	0.631	0.389	1.3324211633597557e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
SNHG29	Inflammation	5.084169492847684	67.22222222222223	TET2	1	#BEBEBE	1.6261316912545147	5.055501507447161e-9	0.4393170576628487	0.934	0.672	1.8444997249920963e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
OLR1	Cell adhesion	3.547059052843269	60.55555555555555	TET2	1	#BEBEBE	1.266118824325936	5.3493172101391645e-9	0.3912020600497934	0.821	0.606	1.9516983841192745e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
TPT1	Inflammation	79.969424386652	97.22222222222221	TET2	1	#BEBEBE	4.381644366451844	6.249979423409635e-9	0.2374143205326975	0.998	0.972	2.2803049926310056e-4	TRUE	0.0001 - 0.05	> 50 & < 100	>= 10%	yes	> 0
TXNRD1	Inflammation	2.0741585709409014	47.22222222222222	TET2	1	#BEBEBE	0.7295555634617785	8.389787712470133e-9	0.4525798935308958	0.708	0.472	3.0610140468947277e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
HLA-DPB1	Antigen presentation	3.608759703845556	52.77777777777778	TET2	1	#BEBEBE	1.2833641409683392	1.03103561111516e-8	0.4582310866452404	0.754	0.528	3.761733427153661e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
TAB2	Inflammation	0.6853255357579275	24.444444444444443	TET2	1	#BEBEBE	-0.3778613189250437	1.6931865095268223e-8	0.32527418816122566	0.458	0.244	6.177590980008612e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
HLA-DQA2	Antigen presentation	1.5554223332853003	37.77777777777778	TET2	1	#BEBEBE	0.4417471057234565	1.7086223479731013e-8	0.38469957374994546	0.628	0.378	6.23390863657986e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
HLA-DRB1	Antigen presentation	5.65818298633314	67.77777777777779	TET2	1	#BEBEBE	1.7331028135252233	7.501920892901781e-8	0.37787747291560425	0.899	0.678	0.00273707583777521	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
ITGB8	Cell adhesion	1.6566489659532273	42.22222222222222	TET2	1	#BEBEBE	0.5047968668480723	1.1848020774336332e-7	0.3314669701053734	0.645	0.422	0.00432275037951661	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
LGALS2	Inflammation	1.1632556910619973	37.22222222222222	TET2	1	#BEBEBE	0.15122270411148048	1.5680800772030746e-7	0.4270278383032029	0.584	0.372	0.00572114016167541	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
FCER1G	Monocyte activation	7.323985436409502	73.33333333333333	TET2	1	#BEBEBE	1.9911546383353422	3.89987130556689e-7	0.3172599376505234	0.951	0.733	0.01422868045836079	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
SERPINB1	Inflammation	6.5774378320375035	70.55555555555556	TET2	1	#BEBEBE	1.8836452822779903	4.816333843194905e-7	0.33942777384111134	0.93	0.706	0.01757239402689661	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
S100A6	Monocyte activation	31.42794463873467	84.44444444444444	TET2	1	#BEBEBE	3.44769745378519	9.623056666731431e-7	0.3022050819564095	0.988	0.844	0.03510972224856962	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
HLA-DRA	Antigen presentation	38.43218302500223	97.14285714285714	DNMT3A	20	#0000FF	3.6488952081937436	0.405341732441503	-0.06894763757660005	0.988	0.971	1	FALSE	Not significant	< 50	>= 10%	no	< 0
SOD2	Monocyte activation	142.4563317224141	98.85714285714286	DNMT3A	1	#BEBEBE	4.959035508691898	0.38426537998392113	0.05640481158145327	0.997	0.989	1	FALSE	Not significant	>= 100	>= 10%	no	> 0
HLA-DRB5	Antigen presentation	0.12403027214412266	3.428571428571429	DNMT3A	1	#BEBEBE	-2.0872296129774894	0.35971608362351054	0.01747899624450863	0.049	0.034	1	FALSE	Not significant	< 50	< 10%	no	> 0
LGALS2	Inflammation	0.7712223231952001	25.428571428571427	DNMT3A	1	#BEBEBE	-0.2597785900528627	0.14378868009926565	0.1400719716899873	0.297	0.254	1	FALSE	Not significant	< 50	>= 10%	no	> 0
HLA-DRB1	Antigen presentation	22.313491433434027	92.28571428571428	DNMT3A	20	#0000FF	3.1051914925441384	0.3600286385042913	-0.05675912675927108	0.92	0.923	1	FALSE	Not significant	< 50	>= 10%	no	< 0
HLA-DPA1	Antigen presentation	6.161051569510831	74.28571428571429	DNMT3A	20	#0000FF	1.8182474723124216	0.1021509917818637	-0.13599238866107344	0.691	0.743	1	FALSE	Not significant	< 50	>= 10%	no	< 0
HLA-DQA1	Antigen presentation	1.0837158520969676	28.857142857142858	DNMT3A	1	#BEBEBE	0.08039573959378901	0.47033915072939664	0.03096010587267539	0.324	0.289	1	FALSE	Not significant	< 50	>= 10%	no	> 0
S100A6	Monocyte activation	80.8294752317235	98.57142857142858	DNMT3A	20	#0000FF	4.392341691478278	0.26431990509868847	-0.05255817748721014	0.991	0.986	1	FALSE	Not significant	> 50 & < 100	>= 10%	no	< 0
SEC61B	Antigen presentation	5.770361820588317	86.85714285714286	DNMT3A	1	#BEBEBE	1.752734785761674	0.5656948036333181	0.04002002942003058	0.869	0.869	1	FALSE	Not significant	< 50	>= 10%	no	> 0
FCER1G	Monocyte activation	14.921436954498992	94.85714285714286	DNMT3A	20	#0000FF	2.702798900761301	0.01684576833726103	-0.15935587176443855	0.969	0.949	1	FALSE	Not significant	< 50	>= 10%	no	< 0
HLA-DPB1	Antigen presentation	5.861460823606828	73.14285714285714	DNMT3A	20	#0000FF	1.7683988598269236	0.4697744844611138	-0.07500292599007752	0.682	0.731	1	FALSE	Not significant	< 50	>= 10%	no	< 0
VIM	Inflammation	155.94420239309426	100	DNMT3A	1	#BEBEBE	5.049498266300529	4.322294926198495e-4	0.1458066721107052	0.997	1	1	FALSE	Not significant	>= 100	>= 10%	no	> 0
LGALS3	Inflammation	42.61545911270323	97.14285714285714	DNMT3A	1	#BEBEBE	3.7522170774162444	0.687320660264339	7.83523722627244e-4	0.979	0.971	1	FALSE	Not significant	< 50	>= 10%	no	> 0
SNHG29	Inflammation	3.1332462430591725	66	DNMT3A	1	#BEBEBE	1.1420696054532176	0.01440612383005799	0.15288085096724346	0.743	0.66	1	FALSE	Not significant	< 50	>= 10%	no	> 0
YBX3	Inflammation	2.7683300120108774	53.714285714285715	DNMT3A	1	#BEBEBE	1.0182442546411767	0.4850088859042986	0.05179041034644749	0.572	0.537	1	FALSE	Not significant	< 50	>= 10%	no	> 0
DRAM1	Inflammation	3.269719091362924	64.57142857142857	DNMT3A	1	#BEBEBE	1.1847040764371546	0.771004800405179	0.00146984744216416	0.661	0.646	1	FALSE	Not significant	< 50	>= 10%	no	> 0
YBX1	Inflammation	10.664510895406243	92.57142857142857	DNMT3A	1	#BEBEBE	2.3669214901502764	0.21168906376976027	0.08383381536458323	0.945	0.926	1	FALSE	Not significant	< 50	>= 10%	no	> 0
NEAT1	Inflammation	47.2539390000503	99.71428571428571	DNMT3A	20	#0000FF	3.855536015545506	0.8655655508804244	-0.0250389058467686	0.997	0.997	1	FALSE	Not significant	< 50	>= 10%	no	< 0
SOD2	Inflammation	142.4563317224141	98.85714285714286	DNMT3A	1	#BEBEBE	4.959035508691898	0.38426537998392113	0.05640481158145327	0.997	0.989	1	FALSE	Not significant	>= 100	>= 10%	no	> 0
ITGB8	Cell adhesion	1.7253466825574015	38	DNMT3A	1	#BEBEBE	0.5454280056860689	0.7621261261513348	0.02734412200643143	0.398	0.38	1	FALSE	Not significant	< 50	>= 10%	no	> 0
OLR1	Cell adhesion	5.3685941659871945	72.28571428571429	DNMT3A	20	#0000FF	1.6805660802033777	0.6860069930532138	-0.00468469928107051	0.697	0.723	1	FALSE	Not significant	< 50	>= 10%	no	< 0
FABP5	Inflammation	1.5375526856270636	27.714285714285715	DNMT3A	20	#0000FF	0.430191987185946	0.7460072807686067	-0.24822961124988785	0.275	0.277	1	FALSE	Not significant	< 50	>= 10%	no	< 0
TXNRD1	Inflammation	2.4410189562205016	56.85714285714286	DNMT3A	1	#BEBEBE	0.8924155571408096	0.9383625213830802	0.0026277097525218	0.584	0.569	1	FALSE	Not significant	< 50	>= 10%	no	> 0
HLA-DQA2	Antigen presentation	0.01611128911401875	0.5714285714285714	DNMT3A	20	#0000FF	-4.12823506550248	0.9515735582833026	-0.00982861721735783	0.006	0.006	1	FALSE	Not significant	< 50	< 10%	no	< 0
TPT1	Inflammation	85.32667030615758	99.42857142857143	DNMT3A	1	#BEBEBE	4.446487070413151	0.00115082760987906	0.09144289815323604	0.994	0.994	1	FALSE	Not significant	> 50 & < 100	>= 10%	no	> 0
TAB2	Inflammation	1.1448535409409648	37.714285714285715	DNMT3A	1	#BEBEBE	0.1352767169828335	0.954789312159246	0.0502255338620825	0.376	0.377	1	FALSE	Not significant	< 50	>= 10%	no	> 0
SERPINB1	Inflammation	13.050469844976032	94.57142857142857	DNMT3A	1	#BEBEBE	2.568824136567033	0.05635027067809506	0.11029405676201832	0.969	0.946	1	FALSE	Not significant	< 50	>= 10%	no	> 0
