Gene,TET2_log2FC,DNMT3A_log2FC,Pathway,log2_FC_diff_tet2_minus_dnmt3a
CXCL2,0.6923510230413633,0.03692762866038252,Other,0.6554233943809809
CCL4L2,0.7021208570177475,-0.01602421083238114,Inflammation,0.7181450678501287
SOD2,0.8331348808370254,0.06994789248158773,Monocyte Activation,0.7631869883554376
CCL4,0.7749093607188846,-0.06082193819254034,Inflammation,0.835731298911425
THBS1,0.7448832194291928,-0.14135978718149694,Other,0.8862430066106897
HBA2,1.2207929879237351,0.301762702735176,Other,0.9190302851885591
CCL3,1.0269862676024866,-0.01721545420645642,Inflammation,1.044201721808943
GNLY,1.0578183952267135,-0.01335720616295166,Other,1.0711756013896652
CXCL3,1.0812919654715798,0.0067861349566366,Inflammation,1.0745058305149433
HBB,1.6277059371875575,0.5058595372506531,Other,1.1218463999369044
IL1B,1.2993331059914508,0.07245452203912284,Inflammation,1.226878583952328
CXCL8,1.2911894297060829,-0.1546379004763636,Inflammation,1.4458273301824465
