Gene	Pathway	avg.exp	pct.exp	id	avg.exp.scaled	colors	log_avg_exp	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	Adj p-value	Avg exp	Pct exp	Significant	Avg log2 fold change
FABP5	Inflammation	1.9334060012129939	38.88888888888889	TET2	1	#BEBEBE	0.6592832150122038	3.651969750198042e-9	0.6775852028952347	0.631	0.389	1.3324211633597557e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
SNHG29	Inflammation	5.084169492847684	67.22222222222223	TET2	1	#BEBEBE	1.6261316912545147	5.055501507447161e-9	0.4393170576628487	0.934	0.672	1.8444997249920963e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
OLR1	Cell adhesion	3.547059052843269	60.55555555555555	TET2	1	#BEBEBE	1.266118824325936	5.3493172101391645e-9	0.3912020600497934	0.821	0.606	1.9516983841192745e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
TPT1	Inflammation	79.969424386652	97.22222222222221	TET2	1	#BEBEBE	4.381644366451844	6.249979423409635e-9	0.2374143205326975	0.998	0.972	2.2803049926310056e-4	TRUE	0.0001 - 0.05	> 50 & < 100	>= 10%	yes	> 0
TXNRD1	Inflammation	2.0741585709409014	47.22222222222222	TET2	1	#BEBEBE	0.7295555634617785	8.389787712470133e-9	0.4525798935308958	0.708	0.472	3.0610140468947277e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
HLA-DPB1	Antigen presentation	3.608759703845556	52.77777777777778	TET2	1	#BEBEBE	1.2833641409683392	1.03103561111516e-8	0.4582310866452404	0.754	0.528	3.761733427153661e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
TAB2	Inflammation	0.6853255357579275	24.444444444444443	TET2	1	#BEBEBE	-0.3778613189250437	1.6931865095268223e-8	0.32527418816122566	0.458	0.244	6.177590980008612e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
HLA-DQA2	Antigen presentation	1.5554223332853003	37.77777777777778	TET2	1	#BEBEBE	0.4417471057234565	1.7086223479731013e-8	0.38469957374994546	0.628	0.378	6.23390863657986e-4	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
HLA-DRB1	Antigen presentation	5.65818298633314	67.77777777777779	TET2	1	#BEBEBE	1.7331028135252233	7.501920892901781e-8	0.37787747291560425	0.899	0.678	0.00273707583777521	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
ITGB8	Cell adhesion	1.6566489659532273	42.22222222222222	TET2	1	#BEBEBE	0.5047968668480723	1.1848020774336332e-7	0.3314669701053734	0.645	0.422	0.00432275037951661	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
LGALS2	Inflammation	1.1632556910619973	37.22222222222222	TET2	1	#BEBEBE	0.15122270411148048	1.5680800772030746e-7	0.4270278383032029	0.584	0.372	0.00572114016167541	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
FCER1G	Monocyte activation	7.323985436409502	73.33333333333333	TET2	1	#BEBEBE	1.9911546383353422	3.89987130556689e-7	0.3172599376505234	0.951	0.733	0.01422868045836079	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
SERPINB1	Inflammation	6.5774378320375035	70.55555555555556	TET2	1	#BEBEBE	1.8836452822779903	4.816333843194905e-7	0.33942777384111134	0.93	0.706	0.01757239402689661	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
S100A6	Monocyte activation	31.42794463873467	84.44444444444444	TET2	1	#BEBEBE	3.44769745378519	9.623056666731431e-7	0.3022050819564095	0.988	0.844	0.03510972224856962	TRUE	0.0001 - 0.05	< 50	>= 10%	yes	> 0
CXCL3	Inflammation	31.540199502564235	83.33333333333334	TET2	1	#BEBEBE	3.451262906897393	2.090023323825168e-6	0.44690831959450783	0.962	0.833	0.07625450096976125	FALSE	Not significant	< 50	>= 10%	no	> 0
SDCBP	Cell adhesion	4.026922928021302	69.44444444444444	TET2	1	#BEBEBE	1.3930025428784456	2.2594516497422583e-6	0.26328084178540445	0.9	0.694	0.08243609344084629	FALSE	Not significant	< 50	>= 10%	no	> 0
ANXA5	Cell adhesion	12.903919817478133	81.11111111111111	TET2	1	#BEBEBE	2.557531127030984	4.0133653363064625e-6	0.2795499800440462	0.982	0.811	0.14642763429514127	FALSE	Not significant	< 50	>= 10%	no	> 0
S100A10	Monocyte activation	43.824368256795196	83.33333333333334	TET2	1	#BEBEBE	3.7801900155703745	4.400258849139564e-6	0.3000408095531224	0.987	0.833	0.160543444110857	FALSE	Not significant	< 50	>= 10%	no	> 0
CFD	Inflammation	4.743667541659493	68.88888888888889	TET2	1	#BEBEBE	1.5568105794883522	6.357942076375874e-6	0.2482619748286772	0.896	0.689	0.23196951665657375	FALSE	Not significant	< 50	>= 10%	no	> 0
CD74	Antigen presentation	9.853568021965275	78.33333333333333	TET2	1	#BEBEBE	2.287833625324989	1.8502585525082677e-5	0.3117840908367975	0.959	0.783	0.6750668328826415	FALSE	Not significant	< 50	>= 10%	no	> 0
S100A4	Monocyte activation	16.937097094260483	78.33333333333333	TET2	1	#BEBEBE	2.8295063105642466	2.271811186355431e-5	0.25808872839271846	0.98	0.783	0.828870311341779	FALSE	Not significant	< 50	>= 10%	no	> 0
ALCAM	Cell adhesion	0.7457883425024148	28.888888888888886	TET2	1	#BEBEBE	-0.293313442222526	5.184990121725349e-5	0.3667639230941451	0.446	0.289	1	FALSE	Not significant	< 50	>= 10%	no	> 0
CCL4L2	Inflammation	12.290154770449396	66.66666666666666	TET2	1	#BEBEBE	2.5087985167003906	0.02908780273184303	0.2884386449602987	0.783	0.667	1	FALSE	Not significant	< 50	>= 10%	no	> 0
ITGB2	Cell adhesion	1.3142456175280686	36.666666666666664	TET2	20	#D3D3D3	0.273262826131734	0.33216822801961093	-0.23444275094883904	0.43	0.367	1	FALSE	Not significant	< 50	>= 10%	no	< 0
LYZ	Monocyte activation	51.141073017059085	82.22222222222221	TET2	1	#BEBEBE	3.9345879515955837	2.7509406419487085e-5	0.31384900912604685	0.99	0.822	1	FALSE	Not significant	> 50 & < 100	>= 10%	no	> 0
CCL3L1	Inflammation	11.785162054164687	75.55555555555556	TET2	20	#D3D3D3	2.466841287177276	0.7526745628251974	-0.2420267850940201	0.835	0.756	1	FALSE	Not significant	< 50	>= 10%	no	< 0
CTSS	Antigen presentation	8.13802917171974	75.55555555555556	TET2	1	#BEBEBE	2.0965480342031717	5.56364017441836e-4	0.1703877770448452	0.971	0.756	1	FALSE	Not significant	< 50	>= 10%	no	> 0
LIMS1	Cell adhesion	4.48511936049178	67.22222222222223	TET2	20	#D3D3D3	1.5007651084212437	0.08672122962112366	-0.1625397852273318	0.828	0.672	1	FALSE	Not significant	< 50	>= 10%	no	< 0
S100A9	Monocyte activation	32.86445713970246	82.77777777777777	TET2	1	#BEBEBE	3.4923917436939043	4.0025563314679847e-4	0.2190519279447809	0.975	0.828	1	FALSE	Not significant	< 50	>= 10%	no	> 0
IL1B	Inflammation	69.8376287822075	98.33333333333333	TET2	1	#BEBEBE	4.246172958810164	0.00652348979490494	0.29945650878396357	0.994	0.983	1	FALSE	Not significant	> 50 & < 100	>= 10%	no	> 0
S100A8	Monocyte activation	17.533143707078406	77.77777777777779	TET2	1	#BEBEBE	2.8640930158314277	0.02932508285700094	0.13929790900696215	0.942	0.778	1	FALSE	Not significant	< 50	>= 10%	no	> 0
IL6	Inflammation	0.8067050968923865	12.777777777777777	TET2	20	#D3D3D3	-0.2147971088586147	0.00392510851674316	-0.04054360207171415	0.229	0.128	1	FALSE	Not significant	< 50	>= 10%	no	< 0
IFI30	Antigen presentation	6.339235182828683	65	TET2	1	#BEBEBE	1.8467581275490776	9.186810659929278e-4	0.14282469142613063	0.888	0.65	1	FALSE	Not significant	< 50	>= 10%	no	> 0
ITGB1	Cell adhesion	5.892006041368948	76.11111111111111	TET2	20	#D3D3D3	1.7735965239510034	0.07673024042512727	-0.04479013195131864	0.91	0.761	1	FALSE	Not significant	< 50	>= 10%	no	< 0
IL1RN	Inflammation	8.590219542038707	68.88888888888889	TET2	1	#BEBEBE	2.1506242935320476	4.711740936658982e-4	0.2350191542117757	0.842	0.689	1	FALSE	Not significant	< 50	>= 10%	no	> 0
FCN1	Cell adhesion	7.964943587130644	75.55555555555556	TET2	1	#BEBEBE	2.0750498607419074	0.00759813351856902	0.18011440248291377	0.96	0.756	1	FALSE	Not significant	< 50	>= 10%	no	> 0
S100A11	Monocyte activation	19.40322064191729	82.77777777777777	TET2	1	#BEBEBE	2.9654390647607007	5.318306538728061e-4	0.1731661435210814	0.985	0.828	1	FALSE	Not significant	< 50	>= 10%	no	> 0
CCL4	Inflammation	46.909245467331914	91.11111111111111	TET2	1	#BEBEBE	3.8482147875239874	0.02488876782000704	0.3143913166140635	0.963	0.911	1	FALSE	Not significant	< 50	>= 10%	no	> 0
CD226	Cell adhesion	0.019075167176713783	1.1111111111111112	TET2	20	#D3D3D3	-3.9593679376710553	0.424232855434067	-0.01021701778099017	0.006	0.011	1	FALSE	Not significant	< 50	< 10%	no	< 0
TNFAIP6	Inflammation	4.01027775453754	54.44444444444444	TET2	1	#BEBEBE	1.3888605043904443	0.02281541694884529	0.03325395896044325	0.689	0.544	1	FALSE	Not significant	< 50	>= 10%	no	> 0
ADAM8	Cell adhesion	0.2738142256255821	8.333333333333332	TET2	20	#D3D3D3	-1.2953054112116464	0.35934872758664727	-0.0528915621252749	0.106	0.083	1	FALSE	Not significant	< 50	< 10%	no	< 0
CCL3	Inflammation	36.25119671320348	90.55555555555556	TET2	1	#BEBEBE	3.5904723935338008	0.04300542177701964	0.2896714909399787	0.982	0.906	1	FALSE	Not significant	< 50	>= 10%	no	> 0
CXCL8	Inflammation	125.29974929139445	100	TET2	1	#BEBEBE	4.830708861033257	0.01140609394424688	0.1306281612663982	1	1	1	FALSE	Not significant	>= 100	>= 10%	no	> 0
IFITM2	Inflammation	0.7394456325879964	20	TET2	1	#BEBEBE	-0.3018545186847301	4.1773195319225286e-5	0.11875552891011154	0.364	0.2	1	FALSE	Not significant	< 50	>= 10%	no	> 0
TNFSF10	Inflammation	0.16106898235300407	5	TET2	20	#D3D3D3	-1.825922543941328	0.6275817074950258	-0.10633533158297208	0.043	0.05	1	FALSE	Not significant	< 50	< 10%	no	< 0
MNDA	Inflammation	0.4422380765922546	14.444444444444443	TET2	20	#D3D3D3	-0.8159069070920004	0.8394284061871896	-0.14909914293999443	0.14	0.144	1	FALSE	Not significant	< 50	>= 10%	no	< 0
KLF4	Inflammation	0.6804995495450155	8.88888888888889	TET2	20	#D3D3D3	-0.3849281188379104	0.9591163672483612	-0.48207153602605574	0.093	0.089	1	FALSE	Not significant	< 50	< 10%	no	< 0
CLEC4E	Inflammation	1.5924585832491887	44.44444444444444	TET2	1	#BEBEBE	0.4652791007471382	0.02328977039742568	0.09569522359925632	0.552	0.444	1	FALSE	Not significant	< 50	>= 10%	no	> 0
AIF1	Inflammation	3.939311398191565	64.44444444444444	TET2	1	#BEBEBE	1.3710059360028333	4.4766353738604994e-4	0.15092013231644597	0.844	0.644	1	FALSE	Not significant	< 50	>= 10%	no	> 0
TSPO	Inflammation	1.462525541911747	47.22222222222222	TET2	1	#BEBEBE	0.3801647645264117	1.7951929492962795e-4	0.2396742736437296	0.649	0.472	1	FALSE	Not significant	< 50	>= 10%	no	> 0
PYCARD	Inflammation	0.8355542404219314	31.666666666666664	TET2	1	#BEBEBE	-0.17966001333882364	0.03565765410111976	0.10527293315791796	0.409	0.317	1	FALSE	Not significant	< 50	>= 10%	no	> 0
CXCL3	Inflammation	22.712268362256303	72.57142857142857	DNMT3A	1	#BEBEBE	3.1229052349804114	0.9892235071196176	0.00102146028296612	0.731	0.726	1	FALSE	Not significant	< 50	>= 10%	no	> 0
HLA-DRA	Antigen presentation	38.43218302500223	97.14285714285714	DNMT3A	20	#0000FF	3.6488952081937436	0.405341732441503	-0.06894763757660005	0.988	0.971	1	FALSE	Not significant	< 50	>= 10%	no	< 0
ALCAM	Cell adhesion	1.6440978652808573	40.57142857142857	DNMT3A	1	#BEBEBE	0.4971918236218675	0.7963256137127217	0.00320619378281472	0.425	0.406	1	FALSE	Not significant	< 50	>= 10%	no	> 0
SOD2	Monocyte activation	142.4563317224141	98.85714285714286	DNMT3A	1	#BEBEBE	4.959035508691898	0.38426537998392113	0.05640481158145327	0.997	0.989	1	FALSE	Not significant	>= 100	>= 10%	no	> 0
CCL4L2	Inflammation	20.154970576389257	73.14285714285714	DNMT3A	20	#0000FF	3.0034509367014923	0.383031400054643	-0.28026742881910494	0.722	0.731	1	FALSE	Not significant	< 50	>= 10%	no	< 0
HLA-DRB5	Antigen presentation	0.12403027214412266	3.428571428571429	DNMT3A	1	#BEBEBE	-2.0872296129774894	0.35971608362351054	0.01747899624450863	0.049	0.034	1	FALSE	Not significant	< 50	< 10%	no	> 0
ITGB2	Cell adhesion	4.122818108239757	79.71428571428572	DNMT3A	20	#0000FF	1.4165369363896763	0.4167587514007536	-0.0884846519809992	0.817	0.797	1	FALSE	Not significant	< 50	>= 10%	no	< 0
S100A4	Monocyte activation	31.848277426238795	96.85714285714285	DNMT3A	20	#0000FF	3.4609832966070364	0.02573808432176651	-0.11812338531708022	0.976	0.969	1	FALSE	Not significant	< 50	>= 10%	no	< 0
LGALS2	Inflammation	0.7712223231952001	25.428571428571427	DNMT3A	1	#BEBEBE	-0.2597785900528627	0.14378868009926565	0.1400719716899873	0.297	0.254	1	FALSE	Not significant	< 50	>= 10%	no	> 0
HLA-DRB1	Antigen presentation	22.313491433434027	92.28571428571428	DNMT3A	20	#0000FF	3.1051914925441384	0.3600286385042913	-0.05675912675927108	0.92	0.923	1	FALSE	Not significant	< 50	>= 10%	no	< 0
SDCBP	Cell adhesion	9.57271648894605	94.85714285714286	DNMT3A	20	#0000FF	2.258917019830066	0.03440863665504556	-0.1119858537283558	0.945	0.949	1	FALSE	Not significant	< 50	>= 10%	no	< 0
LYZ	Monocyte activation	70.62850349070293	98	DNMT3A	1	#BEBEBE	4.257433795184227	0.7372915852679582	0.01423126580835898	0.991	0.98	1	FALSE	Not significant	> 50 & < 100	>= 10%	no	> 0
CCL3L1	Inflammation	16.985432100445436	88.85714285714286	DNMT3A	20	#0000FF	2.832356041409379	0.18789832671812504	-0.19707845706461	0.841	0.889	1	FALSE	Not significant	< 50	>= 10%	no	< 0
CTSS	Antigen presentation	22.615744230584447	97.71428571428571	DNMT3A	1	#BEBEBE	3.118646311103093	0.3423651812137341	0.01995553573334696	0.991	0.977	1	FALSE	Not significant	< 50	>= 10%	no	> 0
LIMS1	Cell adhesion	7.838431970793379	89.14285714285714	DNMT3A	1	#BEBEBE	2.0590388106335697	0.6863410915335995	0.01957988104629837	0.927	0.891	1	FALSE	Not significant	< 50	>= 10%	no	> 0
S100A9	Monocyte activation	118.6897786760818	98	DNMT3A	20	#0000FF	4.776513187344136	0.34657981478604505	-0.11578665664164411	0.988	0.98	1	FALSE	Not significant	>= 100	>= 10%	no	< 0
IL1B	Inflammation	37.32649698168927	94.28571428571428	DNMT3A	20	#0000FF	3.6197034492972056	0.8014236104825267	-0.03833091873294858	0.945	0.943	1	FALSE	Not significant	< 50	>= 10%	no	< 0
CD74	Antigen presentation	22.342667594934586	98	DNMT3A	20	#0000FF	3.1064981954172395	0.5329559579736737	-0.0682841499597382	0.976	0.98	1	FALSE	Not significant	< 50	>= 10%	no	< 0
ANXA5	Cell adhesion	12.949921935275837	96.85714285714285	DNMT3A	1	#BEBEBE	2.561089759963349	0.01986732973545871	0.14226577677672747	0.979	0.969	1	FALSE	Not significant	< 50	>= 10%	no	> 0
S100A8	Monocyte activation	69.22979573976572	97.14285714285714	DNMT3A	20	#0000FF	4.2374313442271925	0.07116384830564776	-0.21576116551623592	0.991	0.971	1	FALSE	Not significant	> 50 & < 100	>= 10%	no	< 0
IL6	Inflammation	1.0637085172284533	23.42857142857143	DNMT3A	1	#BEBEBE	0.06176140341504592	0.9307818651214572	0.10007365178807026	0.239	0.234	1	FALSE	Not significant	< 50	>= 10%	no	> 0
IFI30	Antigen presentation	21.697371909430213	95.71428571428572	DNMT3A	1	#BEBEBE	3.077191143047479	0.25970975661134005	0.07360432922289473	0.972	0.957	1	FALSE	Not significant	< 50	>= 10%	no	> 0
ITGB1	Cell adhesion	5.689628206594947	84.85714285714285	DNMT3A	1	#BEBEBE	1.7386449044559267	0.08219231943831624	0.17495888052631647	0.893	0.849	1	FALSE	Not significant	< 50	>= 10%	no	> 0
S100A10	Monocyte activation	63.94865020303856	98	DNMT3A	1	#BEBEBE	4.1580804207346755	0.34246516519133874	0.03658524576214361	0.988	0.98	1	FALSE	Not significant	> 50 & < 100	>= 10%	no	> 0
IL1RN	Inflammation	7.904696868550331	64.28571428571429	DNMT3A	20	#0000FF	2.067457123126726	0.6439208647713079	-0.03605867233328608	0.627	0.643	1	FALSE	Not significant	< 50	>= 10%	no	< 0
HLA-DPA1	Antigen presentation	6.161051569510831	74.28571428571429	DNMT3A	20	#0000FF	1.8182474723124216	0.1021509917818637	-0.13599238866107344	0.691	0.743	1	FALSE	Not significant	< 50	>= 10%	no	< 0
FCN1	Cell adhesion	16.784252603884322	96.57142857142857	DNMT3A	20	#0000FF	2.8204411018197817	0.30544867952297183	-0.04443868239141935	0.979	0.966	1	FALSE	Not significant	< 50	>= 10%	no	< 0
S100A11	Monocyte activation	46.73263886951958	98.28571428571429	DNMT3A	20	#0000FF	3.844442825683299	0.08556198976465955	-0.09308756139039076	0.991	0.983	1	FALSE	Not significant	< 50	>= 10%	no	< 0
CCL4	Inflammation	67.57922572220302	87.71428571428571	DNMT3A	20	#0000FF	4.21330062401724	0.6798539964402437	-0.16418373984049417	0.887	0.877	1	FALSE	Not significant	> 50 & < 100	>= 10%	no	< 0
HLA-DQA1	Antigen presentation	1.0837158520969676	28.857142857142858	DNMT3A	1	#BEBEBE	0.08039573959378901	0.47033915072939664	0.03096010587267539	0.324	0.289	1	FALSE	Not significant	< 50	>= 10%	no	> 0
CD226	Cell adhesion	0.9890878342426689	28.57142857142857	DNMT3A	20	#0000FF	-0.010972140137413749	0.15963922123789717	-0.1070890389914867	0.239	0.286	1	FALSE	Not significant	< 50	>= 10%	no	< 0
S100A6	Monocyte activation	80.8294752317235	98.57142857142858	DNMT3A	20	#0000FF	4.392341691478278	0.26431990509868847	-0.05255817748721014	0.991	0.986	1	FALSE	Not significant	> 50 & < 100	>= 10%	no	< 0
TNFAIP6	Inflammation	1.958121106321522	40.57142857142857	DNMT3A	20	#0000FF	0.671985394249452	0.20848456279482863	-0.03650953885276586	0.352	0.406	1	FALSE	Not significant	< 50	>= 10%	no	< 0
SEC61B	Antigen presentation	5.770361820588317	86.85714285714286	DNMT3A	1	#BEBEBE	1.752734785761674	0.5656948036333181	0.04002002942003058	0.869	0.869	1	FALSE	Not significant	< 50	>= 10%	no	> 0
ADAM8	Cell adhesion	0.9714350510897193	31.142857142857146	DNMT3A	1	#BEBEBE	-0.02898086665608133	0.3300337183281943	0.06831177716759007	0.349	0.311	1	FALSE	Not significant	< 50	>= 10%	no	> 0
FCER1G	Monocyte activation	14.921436954498992	94.85714285714286	DNMT3A	20	#0000FF	2.702798900761301	0.01684576833726103	-0.15935587176443855	0.969	0.949	1	FALSE	Not significant	< 50	>= 10%	no	< 0
CCL3	Inflammation	49.62968468999413	96.28571428571429	DNMT3A	20	#0000FF	3.9045891363652676	0.5816514561401867	-0.18118540393404017	0.939	0.963	1	FALSE	Not significant	< 50	>= 10%	no	< 0
HLA-DPB1	Antigen presentation	5.861460823606828	73.14285714285714	DNMT3A	20	#0000FF	1.7683988598269236	0.4697744844611138	-0.07500292599007752	0.682	0.731	1	FALSE	Not significant	< 50	>= 10%	no	< 0
VIM	Inflammation	155.94420239309426	100	DNMT3A	1	#BEBEBE	5.049498266300529	4.322294926198495e-4	0.1458066721107052	0.997	1	1	FALSE	Not significant	>= 100	>= 10%	no	> 0
CXCL8	Inflammation	121.54126942445323	99.71428571428571	DNMT3A	20	#0000FF	4.800253871152034	0.21734345698184968	-0.09715529093283592	0.994	0.997	1	FALSE	Not significant	>= 100	>= 10%	no	< 0
IFITM2	Inflammation	2.8272600603595928	62.857142857142854	DNMT3A	20	#0000FF	1.0393080661181167	0.09742147469875954	-0.25213799402953896	0.587	0.629	1	FALSE	Not significant	< 50	>= 10%	no	< 0
TNFSF10	Inflammation	0.2511415043887608	9.714285714285714	DNMT3A	1	#BEBEBE	-1.3817387361997098	0.3803573322976799	0.04716951813748932	0.119	0.097	1	FALSE	Not significant	< 50	< 10%	no	> 0
MNDA	Inflammation	0.6383939162047425	20.857142857142858	DNMT3A	1	#BEBEBE	-0.44879976264642246	0.21451935186899823	0.2597748624780576	0.245	0.209	1	FALSE	Not significant	< 50	>= 10%	no	> 0
KLF4	Inflammation	1.33461069147656	30.857142857142854	DNMT3A	20	#0000FF	0.2886396324522542	0.5533725532579041	-0.13842110404573815	0.294	0.309	1	FALSE	Not significant	< 50	>= 10%	no	< 0
CLEC4E	Inflammation	2.0390662720156225	46.285714285714285	DNMT3A	20	#0000FF	0.7124919932787587	0.537049375048674	-0.107361438560879	0.446	0.463	1	FALSE	Not significant	< 50	>= 10%	no	< 0
AIF1	Inflammation	10.008755933440966	90.85714285714286	DNMT3A	20	#0000FF	2.303460303229905	0.1695973096306237	-0.12030063223269004	0.893	0.909	1	FALSE	Not significant	< 50	>= 10%	no	< 0
LGALS3	Inflammation	42.61545911270323	97.14285714285714	DNMT3A	1	#BEBEBE	3.7522170774162444	0.687320660264339	7.83523722627244e-4	0.979	0.971	1	FALSE	Not significant	< 50	>= 10%	no	> 0
TSPO	Inflammation	7.362861486507319	89.71428571428571	DNMT3A	20	#0000FF	1.9964486461095783	0.18117853848148663	-0.11796262550071068	0.902	0.897	1	FALSE	Not significant	< 50	>= 10%	no	< 0
PYCARD	Inflammation	1.6810622802460413	48.285714285714285	DNMT3A	20	#0000FF	0.5194259032618999	0.9628164391632008	-0.0407639198004992	0.502	0.483	1	FALSE	Not significant	< 50	>= 10%	no	< 0
CFD	Inflammation	4.714572698845645	80.57142857142857	DNMT3A	20	#0000FF	1.5506582860710407	6.840347650446787e-4	-0.2869442710657095	0.731	0.806	1	FALSE	Not significant	< 50	>= 10%	no	< 0
SNHG29	Inflammation	3.1332462430591725	66	DNMT3A	1	#BEBEBE	1.1420696054532176	0.01440612383005799	0.15288085096724346	0.743	0.66	1	FALSE	Not significant	< 50	>= 10%	no	> 0
YBX3	Inflammation	2.7683300120108774	53.714285714285715	DNMT3A	1	#BEBEBE	1.0182442546411767	0.4850088859042986	0.05179041034644749	0.572	0.537	1	FALSE	Not significant	< 50	>= 10%	no	> 0
DRAM1	Inflammation	3.269719091362924	64.57142857142857	DNMT3A	1	#BEBEBE	1.1847040764371546	0.771004800405179	0.00146984744216416	0.661	0.646	1	FALSE	Not significant	< 50	>= 10%	no	> 0
YBX1	Inflammation	10.664510895406243	92.57142857142857	DNMT3A	1	#BEBEBE	2.3669214901502764	0.21168906376976027	0.08383381536458323	0.945	0.926	1	FALSE	Not significant	< 50	>= 10%	no	> 0
NEAT1	Inflammation	47.2539390000503	99.71428571428571	DNMT3A	20	#0000FF	3.855536015545506	0.8655655508804244	-0.0250389058467686	0.997	0.997	1	FALSE	Not significant	< 50	>= 10%	no	< 0
SOD2	Inflammation	142.4563317224141	98.85714285714286	DNMT3A	1	#BEBEBE	4.959035508691898	0.38426537998392113	0.05640481158145327	0.997	0.989	1	FALSE	Not significant	>= 100	>= 10%	no	> 0
ITGB8	Cell adhesion	1.7253466825574015	38	DNMT3A	1	#BEBEBE	0.5454280056860689	0.7621261261513348	0.02734412200643143	0.398	0.38	1	FALSE	Not significant	< 50	>= 10%	no	> 0
OLR1	Cell adhesion	5.3685941659871945	72.28571428571429	DNMT3A	20	#0000FF	1.6805660802033777	0.6860069930532138	-0.00468469928107051	0.697	0.723	1	FALSE	Not significant	< 50	>= 10%	no	< 0
FABP5	Inflammation	1.5375526856270636	27.714285714285715	DNMT3A	20	#0000FF	0.430191987185946	0.7460072807686067	-0.24822961124988785	0.275	0.277	1	FALSE	Not significant	< 50	>= 10%	no	< 0
